,Tm,#Bat,BatAge,R/G,G,PA,AB,Runs,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
0,Arizona Diamondbacks,42,27.3,3.59,34,1239,1087,122,222,53,4,35,114,16,7,127,308,0.204,0.293,0.357,0.649,87,388,15,12,5,8,3,224,Arizona Diamondbacks,24,30.4,4.0,18,16,0.529,3.55,34,34,34,0,2,0,12,302.0,262,136,119,26,104,5,239,15,1,9,1263,117,3.84,1.212,7.8,0.8,3.1,7.1,2.3,223
1,Atlanta Braves,35,28.7,4.21,34,1249,1113,143,257,61,1,43,135,16,2,110,318,0.231,0.305,0.403,0.708,97,449,23,14,0,12,1,215,Atlanta Braves,20,30.0,4.5,16,18,0.471,4.21,34,34,34,0,1,0,10,299.0,262,153,140,27,122,2,312,14,1,15,1278,104,3.57,1.284,7.9,0.8,3.7,9.4,2.56,229
2,Baltimore Orioles,37,28.0,3.32,34,1271,1134,113,262,54,3,24,108,20,6,102,303,0.231,0.305,0.347,0.653,94,394,22,23,3,8,3,259,Baltimore Orioles,21,28.0,4.12,14,20,0.412,3.74,34,34,34,0,3,0,7,296.0,274,140,123,30,103,0,250,16,1,11,1240,105,3.96,1.274,8.3,0.9,3.1,7.6,2.43,215
3,Boston Red Sox,35,28.9,3.79,33,1239,1120,125,264,70,2,20,124,5,5,83,271,0.236,0.291,0.355,0.646,87,398,22,12,5,19,3,221,Boston Red Sox,18,31.1,3.97,13,20,0.394,3.63,33,33,33,0,2,0,6,294.2,242,131,119,34,106,6,293,17,3,13,1227,112,3.89,1.181,7.4,1.0,3.2,8.9,2.76,219
4,Chicago Cubs,36,28.8,3.97,32,1173,1044,127,242,51,5,23,114,10,9,107,288,0.232,0.311,0.356,0.667,91,372,30,15,1,6,4,204,Chicago Cubs,21,30.7,4.34,12,20,0.375,4.16,32,32,32,0,4,0,9,277.0,264,139,128,36,105,2,265,11,1,11,1180,102,4.15,1.332,8.6,1.2,3.4,8.6,2.52,211
5,Chicago White Sox,34,29.4,3.62,32,1164,1061,116,244,46,1,29,108,18,1,74,230,0.23,0.287,0.357,0.644,91,379,24,14,7,8,2,200,Chicago White Sox,18,28.8,4.44,16,16,0.5,3.79,32,32,32,0,2,0,13,287.0,256,142,121,29,131,4,307,11,1,16,1236,98,3.78,1.348,8.0,0.9,4.1,9.6,2.34,238
6,Cincinnati Reds,44,29.9,4.15,34,1235,1100,141,240,60,2,29,137,14,6,104,312,0.218,0.293,0.355,0.649,77,391,23,17,1,10,0,191,Cincinnati Reds,25,27.1,6.03,9,25,0.265,6.18,34,34,34,0,1,0,3,290.0,306,205,199,49,151,2,295,22,2,17,1315,76,5.07,1.576,9.5,1.5,4.7,9.2,1.95,240
7,Cleveland Guardians,35,26.1,4.88,32,1224,1098,156,278,55,9,30,153,17,6,104,241,0.253,0.32,0.402,0.722,115,441,26,9,3,10,0,215,Cleveland Guardians,18,26.6,4.66,16,16,0.5,4.2,32,32,32,0,0,0,8,282.2,245,149,132,32,102,3,259,15,1,13,1189,90,4.0,1.228,7.8,1.0,3.2,8.2,2.54,197
8,Colorado Rockies,31,29.6,4.64,33,1236,1111,153,289,59,6,33,143,7,7,96,260,0.26,0.325,0.413,0.738,102,459,24,15,4,10,1,226,Colorado Rockies,16,29.6,5.45,17,16,0.515,4.81,33,33,33,0,0,0,13,288.0,319,180,154,31,107,4,230,11,0,11,1263,96,4.15,1.479,10.0,1.0,3.3,7.2,2.15,220
9,Detroit Tigers,38,28.9,2.79,34,1213,1098,95,242,44,4,15,93,4,4,97,285,0.22,0.288,0.309,0.597,81,339,28,10,2,6,2,219,Detroit Tigers,22,27.9,3.88,11,23,0.324,3.49,34,34,34,0,4,0,7,296.1,246,132,115,30,108,2,245,4,0,8,1226,107,3.92,1.195,7.5,0.9,3.3,7.4,2.27,205
