Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.4,4.00,18,16,.529,3.55,34,34,34,0,2,0,12,302.0,262,136,119,26,104,5,239,15,1,9,1263,117,3.84,1.212,7.8,0.8,3.1,7.1,2.30,223
Atlanta Braves,20,30.0,4.50,16,18,.471,4.21,34,34,34,0,1,0,10,299.0,262,153,140,27,122,2,312,14,1,15,1278,104,3.57,1.284,7.9,0.8,3.7,9.4,2.56,229
Baltimore Orioles,21,28.0,4.12,14,20,.412,3.74,34,34,34,0,3,0,7,296.0,274,140,123,30,103,0,250,16,1,11,1240,105,3.96,1.274,8.3,0.9,3.1,7.6,2.43,215
Boston Red Sox,18,31.1,3.97,13,20,.394,3.63,33,33,33,0,2,0,6,294.2,242,131,119,34,106,6,293,17,3,13,1227,112,3.89,1.181,7.4,1.0,3.2,8.9,2.76,219
Chicago Cubs,21,30.7,4.34,12,20,.375,4.16,32,32,32,0,4,0,9,277.0,264,139,128,36,105,2,265,11,1,11,1180,102,4.15,1.332,8.6,1.2,3.4,8.6,2.52,211
Chicago White Sox,18,28.8,4.44,16,16,.500,3.79,32,32,32,0,2,0,13,287.0,256,142,121,29,131,4,307,11,1,16,1236,98,3.78,1.348,8.0,0.9,4.1,9.6,2.34,238
Cincinnati Reds,25,27.1,6.03,9,25,.265,6.18,34,34,34,0,1,0,3,290.0,306,205,199,49,151,2,295,22,2,17,1315,76,5.07,1.576,9.5,1.5,4.7,9.2,1.95,240
Cleveland Guardians,18,26.6,4.66,16,16,.500,4.20,32,32,32,0,0,0,8,282.2,245,149,132,32,102,3,259,15,1,13,1189,90,4.00,1.228,7.8,1.0,3.2,8.2,2.54,197
Colorado Rockies,16,29.6,5.45,17,16,.515,4.81,33,33,33,0,0,0,13,288.0,319,180,154,31,107,4,230,11,0,11,1263,96,4.15,1.479,10.0,1.0,3.3,7.2,2.15,220
Detroit Tigers,22,27.9,3.88,11,23,.324,3.49,34,34,34,0,4,0,7,296.1,246,132,115,30,108,2,245,4,0,8,1226,107,3.92,1.195,7.5,0.9,3.3,7.4,2.27,205
Houston Astros,17,29.6,3.26,22,12,.647,3.00,34,34,34,0,6,0,8,300.1,243,111,100,25,94,1,274,18,1,10,1225,123,3.50,1.122,7.3,0.7,2.8,8.2,2.91,215
Kansas City Royals,18,27.7,4.97,11,20,.355,4.67,31,31,31,0,3,0,6,272.0,269,154,141,32,111,4,213,10,1,14,1176,85,4.42,1.397,8.9,1.1,3.7,7.0,1.92,211
Los Angeles Angels,23,28.0,3.44,23,13,.639,3.23,36,36,35,1,7,1,10,320.2,243,124,115,33,103,4,276,10,1,7,1294,119,3.80,1.079,6.8,0.9,2.9,7.7,2.68,210
Los Angeles Dodgers,22,28.8,3.12,20,12,.625,2.82,32,32,31,1,3,1,6,283.2,218,100,89,28,80,1,276,14,0,9,1143,146,3.45,1.051,6.9,0.9,2.5,8.8,3.45,194
Miami Marlins,18,27.8,3.76,15,18,.455,3.45,33,33,33,0,2,0,9,289.2,236,124,111,32,109,2,297,10,0,13,1196,120,3.74,1.191,7.3,1.0,3.4,9.2,2.72,204
Milwaukee Brewers,18,28.2,4.12,21,13,.618,3.73,34,34,34,0,1,0,15,297.0,244,140,123,30,119,1,346,12,0,13,1253,111,3.43,1.222,7.4,0.9,3.6,10.5,2.91,222
Minnesota Twins,24,29.2,3.65,19,15,.559,3.41,34,34,34,0,4,0,7,301.0,256,124,114,37,104,1,301,8,1,6,1249,109,3.84,1.196,7.7,1.1,3.1,9.0,2.89,224
New York Mets,18,31.0,3.34,23,12,.657,3.27,35,35,35,0,6,0,11,311.0,239,117,113,31,97,3,338,15,1,7,1259,121,3.32,1.080,6.9,0.9,2.8,9.8,3.48,211
New York Yankees,17,29.4,2.94,24,9,.727,2.80,33,33,33,0,4,0,12,296.0,242,97,92,23,97,3,311,14,1,13,1220,133,3.16,1.145,7.4,0.7,2.9,9.5,3.21,239
Oakland Athletics,20,28.1,3.81,15,21,.417,3.57,36,36,36,0,4,0,9,317.2,281,137,126,30,105,7,269,13,2,14,1324,99,3.77,1.215,8.0,0.8,3.0,7.6,2.56,236
Philadelphia Phillies,18,29.1,4.38,17,17,.500,4.08,34,34,34,0,1,0,9,300.0,272,149,136,28,111,2,301,21,0,7,1277,98,3.65,1.277,8.2,0.8,3.3,9.0,2.71,230
Pittsburgh Pirates,21,28.1,5.30,14,19,.424,4.76,33,33,33,0,0,0,9,289.0,265,175,153,32,129,5,262,15,2,9,1267,87,4.24,1.363,8.3,1.0,4.0,8.2,2.03,226
San Diego Padres,21,30.4,4.15,21,13,.618,3.83,34,34,34,0,2,0,14,303.0,256,141,129,35,103,0,306,15,0,18,1256,100,3.77,1.185,7.6,1.0,3.1,9.1,2.97,209
Seattle Mariners,21,27.8,4.12,15,19,.441,3.74,34,34,34,0,0,0,5,298.0,264,140,124,43,107,1,291,9,0,9,1247,99,4.21,1.245,8.0,1.3,3.2,8.8,2.72,217
San Francisco Giants,21,29.2,3.67,20,13,.606,3.41,33,33,33,0,0,0,8,293.1,275,121,111,19,88,3,290,8,1,15,1221,120,2.97,1.238,8.4,0.6,2.7,8.9,3.30,222
St. Louis Cardinals,17,29.8,3.45,18,15,.545,3.44,33,33,33,0,6,0,7,290.0,257,114,111,28,100,1,243,18,0,9,1209,112,3.92,1.231,8.0,0.9,3.1,7.5,2.43,225
Tampa Bay Rays,25,29.0,4.32,20,14,.588,3.73,34,34,34,0,2,0,10,301.1,252,147,125,40,89,3,295,12,0,13,1244,93,3.90,1.132,7.5,1.2,2.7,8.8,3.31,198
Texas Rangers,20,28.9,4.47,13,19,.406,4.13,32,32,32,0,1,0,7,283.0,243,143,130,38,120,2,280,15,0,11,1208,93,4.32,1.283,7.7,1.2,3.8,8.9,2.33,218
Toronto Blue Jays,20,29.9,4.18,18,16,.529,3.89,34,34,34,0,2,0,13,298.2,274,142,129,31,91,0,274,10,2,7,1252,96,3.65,1.222,8.3,0.9,2.7,8.3,3.01,216
Washington Nationals,22,28.8,5.09,12,23,.343,4.78,35,35,34,1,1,0,3,306.2,304,178,163,34,138,3,286,21,1,16,1356,82,4.25,1.441,8.9,1.0,4.1,8.4,2.07,258
